length_numeric,estimated_mass_kg,metabolic_demand,habitat_modification_potential,specialization_index,region_diversity_score,temporal_span,extinction_proximity,trophic_impact,diet,type,geological_period,lived_in,start_time_mya,end_time_mya,mid_time_mya,ecosystem_impact_score,name,impact_category
3.0,1558.8457268119896,2338.2685902179846,3.0,3,0.8709677419354839,7.0,-130.0,3.0,carnivorous,small theropod,Early Jurassic,United Kingdom,202.0,195.0,198.5,24.36488760739505,sarcosaurus,Low Impact
9.0,24300.0,24300.0,13.5,2,0.9354838709677419,4.0,-5.0,2.0,herbivorous,euornithopod,Late Cretaceous,Mongolia,74.0,70.0,72.0,7.434863570717222,saurolophus,Low Impact
6.5,10771.678722464758,10771.678722464758,14.3,3,1.0,27.0,-29.0,2.0,herbivorous,armoured dinosaur,Early Cretaceous,USA,121.0,94.0,107.5,8.622150368868532,sauropelta,Low Impact
12.0,49883.06325798367,74824.59488697551,30.0,4,1.0,12.0,-77.0,3.0,carnivorous,large theropod,Late Jurassic,USA,154.0,142.0,148.0,38.55374744986121,saurophaganax,Moderate Impact
3.0,1558.8457268119896,2338.2685902179846,3.0,3,0.9354838709677419,5.0,-15.0,3.0,carnivorous,small theropod,Late Cretaceous,Mongolia,85.0,80.0,82.5,24.36488760739505,saurornithoides,Low Impact
4.0,3200.0,3200.0,8.8,3,0.8709677419354839,14.0,-129.0,2.0,herbivorous,armoured dinosaur,Early Jurassic,United Kingdom,208.0,194.0,201.0,6.366529851494077,scelidosaurus,Low Impact
1.2,157.74409656148782,157.74409656148782,2.64,3,1.0,3.0,-137.0,2.0,herbivorous,armoured dinosaur,Early Jurassic,USA,205.0,202.0,203.5,4.140381507567876,scutellosaurus,Low Impact
3.0,1558.8457268119896,1558.8457268119896,4.5,2,0.9032258064516129,6.0,0.0,2.0,herbivorous,euornithopod,Late Cretaceous,Argentina,71.0,65.0,68.0,3.1725270414177027,secernosaurus,Low Impact
1.5,275.56759606310754,413.3513940946613,1.5,3,1.0,15.0,-115.0,3.0,carnivorous,small theropod,Mid Jurassic,USA,195.0,180.0,187.5,23.77073077690267,segisaurus,Low Impact
4.0,3200.0,4800.0,10.0,4,0.9354838709677419,9.0,-23.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,97.0,88.0,92.5,28.489345276342686,segnosaurus,Low Impact
5.0,5590.169943749474,5590.169943749474,11.0,3,0.9354838709677419,22.0,-34.0,2.0,herbivorous,armoured dinosaur,Early Cretaceous,Mongolia,121.0,99.0,110.0,7.233536566089094,shamosaurus,Low Impact
0.45,13.584112963311224,20.376169444966834,0.45,3,0.9354838709677419,-16.0,-77.0,3.0,carnivorous,small theropod,Early Cretaceous,Mongolia,126.0,142.0,134.0,23.40091679032262,shanag,Low Impact
15.0,87142.12528966687,87142.12528966687,22.5,2,0.967741935483871,4.0,-9.0,2.0,herbivorous,euornithopod,Late Cretaceous,China,78.0,74.0,76.0,13.910535485090112,shantungosaurus,Low Impact
10.0,31622.776601683792,31622.776601683792,30.0,3,0.967741935483871,10.0,-95.0,2.0,herbivorous,sauropod,Mid Jurassic,China,170.0,160.0,165.0,15.018830497362453,shunosaurus,Low Impact
0.6,27.8854800926934,33.462576111232075,0.6,1,0.9354838709677419,-6.0,-16.0,2.5,omnivorous,small theropod,Late Cretaceous,Mongolia,75.0,81.0,78.0,10.118450227582471,shuvuuia,Low Impact
4.0,3200.0,3200.0,8.8,3,1.0,9.0,-47.0,2.0,herbivorous,armoured dinosaur,Early Cretaceous,USA,121.0,112.0,116.5,6.366529851494077,silvisaurus,Low Impact
2.37,864.7107637568761,1297.0661456353141,2.37,3,0.967741935483871,0.0,-60.0,3.0,carnivorous,small theropod,Early Cretaceous,China,125.0,125.0,125.0,24.104101738321006,sinocalliopteryx,Low Impact
2.0,565.685424949238,848.5281374238571,2.0,3,0.967741935483871,2.0,-55.0,3.0,carnivorous,small theropod,Early Cretaceous,China,122.0,120.0,121.0,23.958811994815942,sinornithosaurus,Low Impact
1.0,100.0,150.0,1.0,3,0.967741935483871,2.0,-55.0,3.0,carnivorous,small theropod,Early Cretaceous,China,122.0,120.0,121.0,23.59094783183537,sinosauropteryx,Low Impact
1.0,100.0,150.0,1.0,3,0.967741935483871,6.0,-56.0,3.0,carnivorous,small theropod,Early Cretaceous,China,127.0,121.0,124.0,23.59094783183537,sinovenator,Low Impact
7.6,15923.333118414621,23884.99967762193,19.0,4,0.967741935483871,27.0,-77.0,3.0,carnivorous,large theropod,Mid Jurassic,China,169.0,142.0,155.5,32.41821164209217,sinraptor,Moderate Impact
9.0,24300.0,24300.0,27.0,3,0.967741935483871,24.0,0.0,2.0,herbivorous,sauropod,Late Cretaceous,China,89.0,65.0,77.0,13.612270094185796,sonidosaurus,Low Impact
18.0,137461.55826266482,206192.33739399724,45.0,4,0.45161290322580644,25.0,-5.0,3.0,carnivorous,large theropod,Late Cretaceous,Morocco,95.0,70.0,82.5,49.910060980869595,spinosaurus,Moderate Impact
2.0,565.685424949238,848.5281374238571,5.0,4,0.5483870967741935,6.0,-156.0,3.0,carnivorous,large theropod,Late Triassic,Brazil,227.0,221.0,224.0,26.627865296327474,staurikosaurus,Low Impact
